1551119833,25,1.000000,0.670000
1551119856,25,1.000000,0.670000
1551119864,25,1.000000,0.380000
1551119889,25,1.000000,0.670000
1551119889,25,1.000000,0.610000
1551119890,25,1.000000,0.550000
1551120025,25,1.000000,0.490000
1551120025,25,0.000000,0.000000
1551120027,25,analog-output-speaker,1.000000,0.490000
1551120028,25,analog-output-speaker,1.000000,0.490000
1551120028,25,analog-output-speaker,0.000000,0.000000
1551120029,25,analog-output-speaker,1.000000,0.490000
1551120048,25,analog-output-speaker,1.000000,0.490000
1551120074,25,analog-output-headphones,1.000000,0.380000
1551120076,25,analog-output-headphones,1.000000,0.320000
1551120079,25,analog-output-headphones,1.000000,0.260000
1551120084,25,analog-output-headphones,1.000000,0.200000
1551120086,25,analog-output-headphones,1.000000,0.260000
1551120087,25,analog-output-headphones,1.000000,0.200000
1551120088,25,analog-output-headphones,1.000000,0.260000
1551120092,25,analog-output-headphones,1.000000,0.200000
1551120093,25,analog-output-headphones,1.000000,0.260000
1551120109,25,analog-output-headphones,1.000000,0.200000
1551120113,25,analog-output-speaker,1.000000,0.490000
1551120120,25,analog-output-headphones,1.000000,0.200000
1551120123,25,analog-output-speaker,1.000000,0.490000
1551120130,25,analog-output-headphones,1.000000,0.200000
1551120134,25,analog-output-speaker,1.000000,0.490000
1551120607,25,analog-output-headphones,1.000000,0.200000
1551120613,25,analog-output-speaker,1.000000,0.490000
1551121205,25,analog-output-headphones,1.000000,0.200000
1551121205,25,analog-output-headphones,0.000000,0.000000
1551121210,25,analog-output-speaker,1.000000,0.490000
1551121214,25,analog-output-headphones,1.000000,0.200000
1551121225,25,analog-output-speaker,1.000000,0.490000
1551121228,25,analog-output-headphones,1.000000,0.200000
1551121236,25,analog-output-headphones,1.000000,0.260000
1551121237,25,analog-output-headphones,1.000000,0.200000
1551121239,25,analog-output-headphones,1.000000,0.260000
1551121240,25,analog-output-headphones,1.000000,0.200000
1551121243,25,analog-output-headphones,1.000000,0.260000
1551121251,25,analog-output-headphones,1.000000,0.260000
1551121251,25,analog-output-headphones,1.000000,0.260000
1551121251,25,analog-output-headphones,1.000000,0.260000
1551121251,25,analog-output-headphones,1.000000,0.250000
1551121251,25,analog-output-headphones,1.000000,0.250000
1551121251,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.250000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121253,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121254,25,analog-output-headphones,1.000000,0.240000
1551121255,25,analog-output-headphones,1.000000,0.230000
1551121255,25,analog-output-headphones,1.000000,0.230000
1551121321,25,analog-output-headphones,1.000000,0.170000
1551121322,25,analog-output-headphones,1.000000,0.230000
1551121322,25,analog-output-headphones,1.000000,0.170000
1551121325,25,analog-output-speaker,1.000000,0.490000
1551121330,25,analog-output-headphones,1.000000,0.170000
1551121622,25,analog-output-headphones,1.000000,0.170000
1551121624,25,analog-output-headphones,1.000000,0.170000
1551121624,25,analog-output-headphones,0.000000,0.000000
