1551119833,26,1.000000,0.670000
1551119856,26,1.000000,0.670000
1551119864,26,1.000000,0.380000
1551119889,26,1.000000,0.670000
1551119889,26,1.000000,0.610000
1551119890,26,1.000000,0.550000
1551120025,26,1.000000,0.490000
1551120025,26,0.000000,0.000000
1551120027,26,analog-output-speaker,1.000000,0.490000
1551120028,26,analog-output-speaker,1.000000,0.490000
1551120028,26,analog-output-speaker,0.000000,0.000000
1551120029,26,analog-output-speaker,1.000000,0.490000
1551120048,26,analog-output-speaker,1.000000,0.490000
1551120074,26,analog-output-headphones,1.000000,0.380000
1551120076,26,analog-output-headphones,1.000000,0.320000
1551120079,26,analog-output-headphones,1.000000,0.260000
1551120084,26,analog-output-headphones,1.000000,0.200000
1551120086,26,analog-output-headphones,1.000000,0.260000
1551120087,26,analog-output-headphones,1.000000,0.200000
1551120088,26,analog-output-headphones,1.000000,0.260000
1551120092,26,analog-output-headphones,1.000000,0.200000
1551120093,26,analog-output-headphones,1.000000,0.260000
1551120109,26,analog-output-headphones,1.000000,0.200000
1551120113,26,analog-output-speaker,1.000000,0.490000
1551120120,26,analog-output-headphones,1.000000,0.200000
1551120123,26,analog-output-speaker,1.000000,0.490000
1551120130,26,analog-output-headphones,1.000000,0.200000
1551120134,26,analog-output-speaker,1.000000,0.490000
1551120607,26,analog-output-headphones,1.000000,0.200000
1551120613,26,analog-output-speaker,1.000000,0.490000
1551121205,26,analog-output-headphones,1.000000,0.200000
1551121205,26,analog-output-headphones,0.000000,0.000000
1551121210,26,analog-output-speaker,1.000000,0.490000
1551121214,26,analog-output-headphones,1.000000,0.200000
1551121225,26,analog-output-speaker,1.000000,0.490000
1551121228,26,analog-output-headphones,1.000000,0.200000
1551121236,26,analog-output-headphones,1.000000,0.260000
1551121237,26,analog-output-headphones,1.000000,0.200000
1551121239,26,analog-output-headphones,1.000000,0.260000
1551121240,26,analog-output-headphones,1.000000,0.200000
1551121243,26,analog-output-headphones,1.000000,0.260000
1551121251,26,analog-output-headphones,1.000000,0.260000
1551121251,26,analog-output-headphones,1.000000,0.260000
1551121251,26,analog-output-headphones,1.000000,0.260000
1551121251,26,analog-output-headphones,1.000000,0.250000
1551121251,26,analog-output-headphones,1.000000,0.250000
1551121251,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.250000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121253,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121254,26,analog-output-headphones,1.000000,0.240000
1551121255,26,analog-output-headphones,1.000000,0.230000
1551121255,26,analog-output-headphones,1.000000,0.230000
1551121321,26,analog-output-headphones,1.000000,0.170000
1551121322,26,analog-output-headphones,1.000000,0.230000
1551121322,26,analog-output-headphones,1.000000,0.170000
1551121325,26,analog-output-speaker,1.000000,0.490000
1551121330,26,analog-output-headphones,1.000000,0.170000
1551121622,26,analog-output-headphones,1.000000,0.170000
1551121624,26,analog-output-headphones,1.000000,0.170000
1551121624,26,analog-output-headphones,0.000000,0.000000
